title,city,region,category,subcategory,description
Chicos chicas,Mazowieckie,Płock,Muzyka i Edukacja,Podręczniki szkolne,Podrecznik do j. hiszpanskiego Chicos Chicas w bardzo dobrym stanie. Odbiór osobisty naterenie Płocka.
Paletki 4 sztuki,Mazowieckie,Warszawa,Zwierzęta,Zwierzęta akwariowe,Witam posiadam do sprzedania 4 paletki widoczne na zdjęciach Wielkość dwie około 12 cm a dwie 10 cm zainteresowanych proszę o kontakt. Odbiór wyłącznie osobisty .
Krzeslo aluminiowe,Pomorskie,Wejherowo,Dom i Ogród,Stoły i krzesła,Krzeslo aluminiowe naprawione po uszkodzeniu
Spodnie wzorki H&amp;amp;M rozmiar M/L,Świętokrzyskie,Busko-Zdrój,Moda,Ubrania,"Spodnie firmy H&amp;M rozmiar M/L lekko rozciągliwe,zapinane na zip z boku.Stan idealny,wzorki jak 3D szaro bordowe,piękne.Zamienię:)"
Garnuszek pileczki sensoryczna kubus puchatek zabawka sloik,Śląskie,Wodzisław Śląski,Dla Dzieci,Zabawki,Sprzedam lub zamienie zabawke. Dziecko wrzuca grzechoczace pilki a one tocza sie i wypadaja z dna sloika. Nigdy nie wiadomo ktorym wyjscie. Wyjscia mozna pozamykac. Stan bdb. Ze wzgledu na gabaryty wysylka tylko przy wiekszych wymianiach lub sprzdazy.
przyczepa tandem,Małopolskie,Proszowice,Motoryzacja,Przyczepy towarowe,"Sprzedam lub zamienię na sam. osobowy z dopłatą przyczepę STEMA HP2025 tandem, ład 1539kg. po odbudowie :nowe burty, podłoga 30 mm.hamulce, lampy, instalacja elektryczna ,nowe opony &quot;15&quot;. OC i ubezpieczenie do września 2017r.(wymiary przyczepki 1,5 x 3 ,cena 7800zł.)"
damski zegarek na rękę perfect ćwieki czarny,Lubelskie,Lublin,Moda,Zegarki,"Witam. Posiadam damski zegarek perfect. Ciemna metalowa bransoleta z jasnymi ćwiekami. Zegarek ma świecącą w ciemności tarczę. Jest sprawny, ale do wymiany jest bateria, ponieważ długo leży nie używany. Sprzedaż lub zamiana"
Latarka EEx Centurion Handlamp Ex-H251 MK2,Zachodniopomorskie,Szczecin,Sport i Hobby,Turystyka,"Witam,"
sukienka z eko skóra,Łódzkie,Łódź,Moda,Ubrania,zamienie sukienkę w kolorze cappuccino. rozmiar S aczkolwiek dobra również Na M- L
Dzbanek,Kujawsko-pomorskie,Włocławek,Dom i Ogród,Akcesoria kuchenne,Sprzedam ładny dzbanek do kawy bądź herbaty.
KARTY PANINI FIFA 365 edycja2016/2017 sprzedaż/zamiana,Kujawsko-pomorskie,Włocławek,Sport i Hobby,Kolekcje,mam na wymianę bądź sprzedaż karty Fifa 365  2017
Chłodnica peugeot 607 2.0 16v,Lubuskie,Zielona Góra,Motoryzacja,Osobowe,Sprzedam chłodnice plynu peugeot 607 2.0 16v 136 km
RAM i procesor do laptopa,Lubuskie,Żagań,Elektronika,Akcesoria i części,"Witam.Oferuję widoczne na zdjęciu podzespoły.Raczej działają,aczkolwiek nie mam pewności.Zamienię za coś ciekawego bądżteż sprzedam za 50zł.Rozważę każdą ofertę.Więcej info na pw"
bezowo-pomaranczowe sandalki,Łódzkie,Łódź,Moda,Buty,"Sprzedam praktycznie nieużywane sandały ze skóry z zapasowymi flekami. Odbiór osobisty, możliwość przymierzania również innych par. Tel."
Spodnie jeansowe,Wielkopolskie,Grodzisk Wielkopolski,Moda,Ubrania,Sprzedam spodnie jeansowe biodrówki w rozmiarze 38.Stan bardzo dobry.Cena 15zł+koszty przesyłki możliwy również odbiór osobisty.
Kombinezon na 6 mcy,Warmińsko-mazurskie,Ełk,Dla Dzieci,Ubranka dla dzieci,Zamienię kombinezon z disneya na 6 mcy koloru jasno- niebieskiego na dużą czekoladę.zapraszam bo warto
Plakaty Dawida Kwiatkowskiego,Pomorskie,Gdynia,Sport i Hobby,Kolekcje,Zamienię na plakaty Seleny Gomez Justina Biebera Demi Lovato Miley Cyrus Harry Potter lub sprzedam każdy plakat za 1zł
Gry na komputer,Śląskie,Czechowice-Dziedzice,Elektronika,Gry i Konsole,"Witam mam na sprzedaż gry na PC. Ceny podane na zdjęciach , wszystkie w dobrym stanie. (Przy kupowaniu większej ilości lekki rabat ;) )"
felgi kola 16 et41 4/98 fiay bravo stilo dublo multipla itd,Łódzkie,Łódź,Motoryzacja,Koła,felgi kola 16 et41 4/98 fiay bravo stilo dublo multipla itd
Śliczne damskie buty Caffe Nero,Zachodniopomorskie,Szczecin,Moda,Buty,Witam
Samsung galaxy s Ace 2 gti8160,Lubelskie,Lublin,Elektronika,Samsung,"Sprzedam samsunga ace 2 w bardxo dobrym stanie,robi dobre zdjecia, w komplecie telefon, ladowarka, pudelko, paragon bez simloka. Polecam"
Sukienki jeansowe NOWE r.M/L/XL,Pomorskie,Kościerzyna,Moda,Ubrania,Polecam SUKIENKI JEANSOWE NOWE r.M/L
Zgrabiarka Fella nie krone pottinger samasz sipma kuhn lely vicon,Warmińsko-mazurskie,Mrągowo,Rolnictwo,Pozostałe maszyny rolnicze,Posiadamy w sprzedaży maszyny znanej i renomowanej firmy specjalizującej się w zbiorze plonów paszowych FELLA pochodzenia niemieckiego.
"Docieplenia budynków.Solidne wykonanie.Żywiec, Bielsko, Kęty, Sucha",Śląskie,Żywiec,Usługi i Firmy,Budowa i Remont,"SOBUD- wykonujemy docieplenia budynków styropianem oraz wełną , prace wykonane są na wysokim poziomie w konkurencyjnych cenach."
paka dla chlopaka r.98,Dolnośląskie,Wrocław,Dla Dzieci,Ubranka dla dzieci,Zamiana na 2x3 paczki chusteczek nawilżanych dla dziecka fitti z biedronki. Badz sprzedam za 20zl
Aparat telefoniczny tarczowy z 1982 roku,Kujawsko-pomorskie,Toruń,Elektronika,Pozostała elektronika,Sprawny aparat w kolorze kości słoniowej z PRL-u
prostownica Rowenta (Wawa/Wołomin),Mazowieckie,Wołomin,Dom i Ogród,Sprzęt AGD,Rowenta model CF7052 - prostownica do włosów
Buciki rozm 27,Świętokrzyskie,Staszów,Dla Dzieci,Buciki,Buciki rozm.27 stan jak na zdjęciu
Zbióry egzaminacyjne z matematyki i j.polskiego,Pomorskie,Starogard Gdański,Muzyka i Edukacja,Podręczniki szkolne,Mimo zmian w nauczaniu podstawy nadal są te same. Dzięki zadaniom z tego podręcznika Twoje dziecko może utrwalić swoją wiedzę oraz powtórzyć sobie zakres wiedzy przed egzaminem gimnazjalisty.
Sony Cyber-shot 8.1mega pixels,Śląskie,Będzin,Elektronika,Fotografia,"Stan bdb .robi sliczne zdjecia .znudzil mi sie ,zamienilabym za lustrzanke z doplata ."
Piękna sukieneczka dla dziewczynki na różne okazje roz 122,Podkarpackie,Stalowa Wola,Dla Dzieci,Ubranka dla dzieci,"Sprzedam śliczną kremową sukieneczkę dla dziewczynki na wzrost 122. Jest praktycznie nowa założona była na jedną okazję. Przy sukieneczce jest mała torebeczka, jak widać na zdjęciu. Możliwość wysyłki 9.50 zł."
GUESS kożuch kurtka krótka elegancka futerko kosztowało 1199zł OKAZJA,Mazowieckie,Warszawa,Moda,Ubrania,Witam serdecznie!
50 groszy 1923 rok,Zachodniopomorskie,Koszalin,Sport i Hobby,Kolekcje,Witam
Torby i torebki damskie,Kujawsko-pomorskie,Toruń,Moda,Dodatki,"Witam. Zamienię torebki damskie, może jeszcze komuś posłużą. Czekam na propozycje. Torebki były jakiś czas używane, niektóre naprawdę rzadko, niektóre częściej. Obecnie tylko leżą i zawadzają miejsce. Dlatego zależy mi na jak najszybszym pozbyciu się ich. Torebki mają różne wzory, kształty, kolory. Także każda może wybrać coś dla siebie. Na wszelkie pytania udzieli odpowiedzi żona :). Można podejść i pooglądać. Mogę je również sprzedać za symboliczną cenę. Osoby zainteresowane proszę o kontakt przez OLX. Zapraszam do oglądania i pozdrawiam"
"Kombinezon Mothercare 6-9m, jak Nowy",Dolnośląskie,Wrocław,Dla Dzieci,Ubranka dla dzieci,"Witam, mam do sprzedania kombinezon zimowo -wiosenny firmy Mothercare zakupiony w Anglii, jest na 6-9miesiecy to taki rozmiar 68-74 córka dość spora ma teraz 9miesiecy i niestety juz ciezko sie ubiera dlatego sprzedajemy .Używany zaledwie 3miesiace.Goraco polecam super wygodny w ubieraniu , piękny kapturek z futerkiem,"
Ślimaki świderki,Podkarpackie,Łańcut,Zwierzęta,Zwierzęta akwariowe,Witam tak jak w opisie zamienie ślimaki świderki pożyteczne ślimaki które filtrują podłoże jak i zjadają resztki pokarmu i obumarłych roślin i ryb... zamienie za guziki lub molinezje lub inne rybki. Kontakt tylko poprzez olx
OPONY OPONA do wózka widłowego / widlaka - dostawa 24h,Warmińsko-mazurskie,Elbląg,Usługi i Firmy,Pozostałe usługi,Realizujemy usługę wymiany opon w wózkach widłowych u klienta na terenie całego kraju.
"Komputer za 1900zł | Intel G3258, 8GB RAM, SDD 120GB, Thermaltake 530",Mazowieckie,Warszawa,Elektronika,Komputery stacjonarne,Zamienię komputer warty 1900zł na coś ciekawego w tej cenie.
album &amp;quot;Malarze Kazimierza&amp;quot;,Śląskie,Częstochowa,Muzyka i Edukacja,Poradniki i albumy,"Witam mam do sprzedania album&quot; Malarze Kazimierza nad Wisłą&quot;Waldemara Odorowskiego- Warszawa 1991r.,jest prawie jak nowy,ładnie wydany,dobry jakościowo papier,kolorowe ilustracje"
Sprzedaż lub zamiana Nowy pasek damski pleciony,Dolnośląskie,Świebodzice,Moda,Dodatki,Pasek jest nowy. Zamienię na paczkę chusteczek nawilzanych dada lawendowych lub sprzedam za 5 zł. Mozliwa wysyłka.
Nowa spódnica z metka rozmiar 50,Małopolskie,Olkusz,Moda,Ubrania,Do sprzedania nowa spódnica z metką w rozmiarze 50 od polskiego producenta firmy BOGDA. Skład to 60% poliester a 40 % wiskoza. Jakość pierwsza. Wymiary z metki przy tym rozmiarze to obwód pasa 96 cm a bioder 120 cm długośc całkowita 58.
Odśnieżarka elektryczna ROMET - zamiana na kosiarkę elektyczną,Śląskie,Częstochowa,Dom i Ogród,Ogród,"Mogę zamienić na  kosiarkę elektryczną ,silnik elektryczny 380V lub 220V do 3,5 KW, inne propozycje , rozpatrzę każdą."
Szczenięta rasy Border Collie z rodowodem,Wielkopolskie,Ostrów Wielkopolski,Zwierzęta,Pozostałe rasy,Hodowla psów „Przyjaciel” z Ostrowa Wielkopolskiego oferuje do sprzedaży szczenięta rasy Border Collie urodzone 23.12.2016 r. (3 suczki oraz 2 pieski).
kosmetyczki damskie,Podlaskie,Wysokie Mazowieckie,Moda,Dodatki,"zapraszam do zamianki slicznych nowych kosmetyczek mozna tez pojedynczo wymienic polecam,."
20zł 2002 Zamek w Malborku,Lubuskie,Zielona Góra,Sport i Hobby,Kolekcje,Moneta za laminowana w plastikowym pojemniku
wypoczynek 3.2 skóra naturalna,Śląskie,Pszczyna,Dom i Ogród,Komplety mebli,"witam mam do sprzedania holenderski wypoczynek z naturalnej skóry stan bardzo dobry ,komplet nierozkłada się na funkcje spania"
Deska kompozytowa SEQO,Wielkopolskie,Ostrzeszów,Usługi i Firmy,Budowa i Remont,"Deski kompozytowe to wspaniała alternatywa dla produktów drewnianych, są całkowicie ekologiczne oraz bardzo trwałe. Wybierając deski kompozytowe przyczyniacie się Państwo do ochrony środowiska naturalnego, ale także nie tracicie tak cennego dzisiaj czasu, a co za tym idzie pieniędzy na utrzymanie deski kompozytowej w takim stanie w jakim ją nabyliście, ponieważ jest to produkt podobny do drewna, ale ma zupełnie inne właściwości. Raz zabarwiony pozostaje takim na długie lata."
Stary Japoński aparat,Podkarpackie,Krosno,Elektronika,Fotografia,Witam zamienię się za stary aparat Yashita.zbieram antyki lecz nie aparaty i nie pasuje on do mojej kolekcji. Rozważe każda ofertę.
strój karnawałowy bal tygrys h&amp;amp;m 92,Śląskie,Bielsko-Biała,Dla Dzieci,Ubranka dla dzieci,stroj na bal karnawalowy dla dzieci tygrys h&amp;m raz zalozony. polecam!
Wymienię Mobilny Telebim na Food Trucka,Małopolskie,Kraków,Motoryzacja,Pozostałe Przyczepy i Pojazdy użytkowe,"Zamienię mobilny telebim na food Trucka z wyposażeniem lub samochód dostawczy , furgon,bus,van!!! Ekran wielkości 8mkw. wartość ekranu 50.000 zł samochód jest dodatkiem jak by nie patrzeć nieuniknionym Szczegóły na maila lub tel."
Buty za kostkę z frędzlami,Podkarpackie,Nisko,Moda,Buty,Sprzedam nowe buty z frędzlami rozmiar 40.Warto polecam
"Heather Graham - Zło [kryminał, thriller] (sprzedam/wymienię)",Małopolskie,Kraków,Muzyka i Edukacja,Literatura,Heather Graham - Zło
duza torba sinsay,Śląskie,Racibórz,Moda,Dodatki,Nowa z paragonem super pojemna torebka sinsay
Czapki niemowlęce,Dolnośląskie,Wrocław,Dla Dzieci,Ubranka dla dzieci,Czapki ubrane dosłownie dwa razy stan idealny rozmiar 0-3 miesiąca dwie za 5 zł
Kamera Panasonic NV-MX5,Łódzkie,Łęczyca,Elektronika,Pozostała elektronika,"Kamera jest w bardzo dobrym stanie , włącza sie wszystko działa , oprócz tego bocznego wizjeka po prawej stronie , jak sie go otworzy to świeci ale mleczne tło . Do kamery jet cały orginalny osprzęt tj.ładowarka przewód do niej , przewód do kamery przez ładowarkę -prądowy , działająca bateria , dwa piloty , duży do obsługi stacjonarnej , drugi pilot mniejszy w plastikowym futerale ,więcej informacji pod nr.tel."
Kolekcja 5 filmów z serii &amp;quot;Planeta małp&amp;quot; VHD,Śląskie,Czeladź,Muzyka i Edukacja,Filmy,ZAMIENIĘ osobiście na 3 współczesne powieści np. fantasy w bardzo dobrym stanie
MB Design Diamond 18 4x100 za bbs lm rs lub coś fajnego,Wielkopolskie,Nowy Tomyśl,Motoryzacja,Koła,Witam mam na sprzedaż koła Eta Beta oponami letnimi
Szyba w ścianę grodziową ducato,Wielkopolskie,Śrem,Motoryzacja,Osobowe,Sprzedam szybę w ścianę grodziową do ducato rocznik 2014 możliwość wysyłki kurierem
MTB Carver Pure 600 XT,Podlaskie,Białystok,Sport i Hobby,Rowery,"Witam. Do zamiany mam MTB w rozmiarze ramy 52cm (rura podsiodłowa ) . Rama aluminium stop 7005. Przerzutki , piasty XT . Korba i manetki LX . Obręcze Mavic . Amortyzator Reba RL z manetką. Hamulce Elixir CR - przód , Xayes Trail - tył ...bardzo wydolne. Rower w pełni sprawny w ciagłej eksploatacji. Mozliwość obejrzenia w Białymstoku . Istnieje możliwosć wysyłki. Na pytania odpowiem telefonicznie .Do roweru posiadam 3 komplety opon , błotniki i bagażnik tak więc dowolnie można go skonfigurować. Więcej fotek mogę zrobić jak będzie taka potrzeba."
bluzeczka,Łódzkie,Piotrków Trybunalski,Moda,Ubrania,zamienię bluzeczka jest koloru ecru prześwitująca duży rozmiar jest stan jest dobry jedynym minusem jest plamka niestety na zdjęciu tego nie widać
Drewniany domek dla dzieci,Mazowieckie,Radom,Dom i Ogród,Ogród,Domek dla dzieci wykonany w calosci ze swierku
Rower 12 koła,Kujawsko-pomorskie,Włocławek,Dla Dzieci,Pozostałe dla dzieci,Rower dziecięcy bez pedałów sprawny
Srebrny łancuszek mozliwosc zamiany,Podlaskie,Wysokie Mazowieckie,Moda,Biżuteria,Witam mam do sprzedania srebrny łancuszek ten co widac na fotkach
Znaczek pocztowy Chiny President Jiang Zemin i Elephants,Mazowieckie,Warszawa,Sport i Hobby,Kolekcje,5x Znaczków pocztowych z CHIN
"Massey ferguson 135+ TUR, nie ursus c330, c360",Lubelskie,Lublin,Rolnictwo,Ciągniki,"Traktor po remoncie silnika. Wszystko sprawne, po wymianie filtrów, olejów. Możliwa zamiana na ciągnik sadowniczy z kabiną 4x4, dopłata z mojej strony."
Zamienię naklejki i karty biedronki,Łódzkie,Bełchatów,Sport i Hobby,Kolekcje,"Brakuje mi naklejek: 29,39,49;"
Buty na koturnie,Lubuskie,Zielona Góra,Moda,Buty,Przedmiotem aukcji są śliczne czółenka.
"Kamizelka, bezrękawnik na futerku. Super stan!",Podlaskie,Hajnówka,Dla Dzieci,Ubranka dla dzieci,"Sprzedam kamizelkę dla dziewczynki w kolorze różowym. Kamizelka w stanie idealnym. Bardzo ciepła i wygodna. Cała wewnątrz w mieciutkim futerku. W razie jakichkolwiek pytań lub wątpliwości proszę o kontakt. Na wszystkie odpowiem. Preferuję odbiór osobisty, jednak nie jest to warunek. Możemy się dogadać co do wysyłki. Mogę również wystawić kamizelkę na allegro. Jeszcze raz gorąco polecam i pozdrawiam."
"Biała koszula galowa dla dziewczynki 6/7 lat, długi rękaw",Opolskie,Brzeg,Dla Dzieci,Ubranka dla dzieci,Biała koszula dziewczęca z długim rękawem. Stan jak nowa. Rękawki mogą być również podwinięte (zdjęcie 4).
Silnik 2.5TDI 140 VOLVO,Pomorskie,Kościerzyna,Motoryzacja,Osobowe,Sprzedam kompletny silnik volvo 2.5tdi 140
Pralka BEKO WML 15086P,Opolskie,Opole,Dom i Ogród,Sprzęt AGD,Witam.
szpiegowski telefon z czasów prlu,Opolskie,Prudnik,Elektronika,Pozostała elektronika,witam posiadam telefon  dawnego  montera  z tepsy zamienię na  coś  ciekawego
"Buty córka jesień Wojtyłko r. 25, jak Bartek, Ecco",Małopolskie,Andrychów,Dla Dzieci,Buciki,Mam do zaoferowania fajne buty jesienne dla dziewczynki Wojtyłko po mojej córce:
Gigabyte R9 270x,Wielkopolskie,Poznań,Elektronika,Akcesoria i części,Mam na sprzedaż kartę graficzną Gigabyte R9 270x na gwarancji do końca grudnia 2018 r. na podstawie dowodu zakupu. Bardzo wydajna :)
Oddam nowy smoczek dr\,Podlaskie,Białystok,Dla Dzieci,Pozostałe dla dzieci,Oddam nowy smoczek dr browna szeroka szyjka poziom 1 za deserek po 10 miesiącu
Uniwersalny pojemnik na obierki,Mazowieckie,Warszawa,Dom i Ogród,Akcesoria kuchenne,Uniwersalny pojemnik na obierki &quot;montowany&quot; na szufladę bądź drzwiczki. Rozmiar około 40 na 15 cm. Bardzo wygodne rozwiązanie przy szykowaniu posiłków.
torba/sakwa Reserved,Śląskie,Sosnowiec,Moda,Dodatki,Sprzedam torbę firmy Reserved. W środku 2 kieszonki zapinane na zamek + na komórkę. Stan bardzo dobry. Założona raz.
Bluzka-tunika,Dolnośląskie,Głogów,Moda,Ubrania,"Zamienie za 1 paczke chusteczek nawilzanych bluzkę-tunike rozmiar z metki L wymiary: szer pod pachami 42, dl całkowita 70 cm"
Zestaw ceramiczny Gerzit,Łódzkie,Piotrków Trybunalski,Dom i Ogród,Akcesoria kuchenne,Sprzedam zestaw ceramiczny Gerzit -stan bez wyszczerbień i pęknięć.
Bluzka na ramiączkach hm czarna biała luźna,Śląskie,Skoczów,Moda,Ubrania,koszulka hm we wzór
111 drzwi ERKADO kamelia 1 Orzech GRECO 80 L,Kujawsko-pomorskie,Bydgoszcz,Dom i Ogród,Drzwi - okna - schody,Witam!
"Nakładka na zderzak, spojler tył Seat Ibiza IV \",Śląskie,Sosnowiec,Motoryzacja,Osobowe,"Witam,"
VW Polo 1.0 rezerwacja do 31.01 do godz 10,Świętokrzyskie,Końskie,Motoryzacja,Volkswagen,Uszkodzony silnik. Ubezpieczenie oraz przeglad aktualne. Więcej informacji udzielam tel.
Wynajem busów 9 osobowych,Śląskie,Chorzów,Usługi i Firmy,Usługi transportowe,Oferujemy wynajem krótko i długo terminowy busów 9-cio osobowych więcej na stronie alincar.pl
puzzle król lew bardzo fajny zestaw,Podkarpackie,Tarnobrzeg,Dla Dzieci,Zabawki,komplet puzzli z bajki krol lew
Zestaw spodni Gap cars Disney Adidas,Podlaskie,Białystok,Dla Dzieci,Ubranka dla dzieci,Zestaw spodni
Praktycznie nowe PUMY rozmiar 40 złote SKÓRA,Małopolskie,Chrzanów,Moda,Buty,"Bardzo mało używane, skórzane, kolor złoty, modne, wygodne, wysoka jakość"
set gąbek do słuchawek Sennheiser hd 25,Dolnośląskie,Wrocław,Elektronika,MP3 i sprzęt audio,gąbka akustyczna kapsuły przetwornika - nausznik w osłonie ze skóry syntetycznej.
Bryczka,Wielkopolskie,Krotoszyn,Sport i Hobby,Pozostały sport i hobby,Sprzedam lub zamienie. Wiecej informacji na telefon
Czerwone open toe Fiore,Lubelskie,Lublin,Moda,Buty,Sprzedam lub zamienię czerwone buciki na delikatnym koturnie w stanie bardzo dobrym w rozmiarze 37 marki Fiore
Buty narciarskie Salomon,Małopolskie,Rabka-Zdrój,Sport i Hobby,Sporty zimowe,Sprzedam nowe buty narciarskie marki Salomon. Nieużywane ani razu
Top w paski żółto-szare NOWY M,Pomorskie,Słupsk,Moda,Ubrania,Sprzedam bardzo fajny top w paski.
sportowy T-shirt,Śląskie,Częstochowa,Moda,Ubrania,Nowa bluzka ala sportowa z numerem 52. Grubszy materiał. Kupiłam ze strony internetowej ale nie trafiłam z rozmiarem. Rozmiar S.
Buciki czółenka 36-37,Śląskie,Tarnowskie Góry,Moda,Buty,"Twarzowe buciki w kolorze ecru rozm 36-37, ubrane na jedną imprezę. Jak nowe - zamienię za 500 g paczke kawy lub sprzedam za20 zl"
ciepla spodnica na jesienne chlody,Zachodniopomorskie,Szczecin,Moda,Ubrania,roz.38 na wzrost 165cm.
METELLI - 05-0179 Ascona frontera,Mazowieckie,Warszawa,Motoryzacja,Osobowe,"NOWA pompa hamulcowa ASCONA FRONTERA 20,64"
Figurka Państwa Młodych,Wielkopolskie,Poznań,Dom i Ogród,Dekoracje,"Witam,"
"Piękny zestaw w idealnym stanie,dowóz w cenie. Zamienię.",Mazowieckie,Piaseczno,Dom i Ogród,Komplety mebli,"Witam oferuję piękny zestaw ,rozkładany,rodzinny,praktyczny stół  z 6  krzesłami w pięknym obiciu nie brudzącym . Stół o wymiarach 160x90cm,po rozłożeniu 200x90cm. Zestaw jest  w idealnym stanie zakupiony 7 mcy temu. .Zapraszam do obejrzenia w rzeczywistości . Oferuję transport  (od ręki-posiadam busa)  w okolicy Piaseczna i Warszawy. Czekam na  rozsądne propozycje zamiany.Polecam."
Czarne sandałki na słupku,Zachodniopomorskie,Barlinek,Moda,Buty,"Sprzedam czarne sandałki na słupku. Posiadałam je na sobie tylko raz, w dodatku tylko w nich siedziałam. Sprzedaję, ponieważ są dla mnie ciut za wysokie. Cena bez wysyłki. Szczegóły do uzgodnienia."
kamizelka dżinsowa,Śląskie,Żywiec,Moda,Ubrania,prawie nowa kamizelka. bardzo ładnie pasuje do spódniczek jak i dżinsów
Sprzedam prawo rodzinne,Łódzkie,Pabianice,Muzyka i Edukacja,Podręczniki szkolne,"Sprzedam prawo rodzinne, wydawnictwo Prawnicze PWN, Warszawa 1998r."
Drzwi szklane witryny na zamówienie wymiar nietypowe minimalistyczne,Kujawsko-pomorskie,Toruń,Usługi i Firmy,Budowa i Remont,"Witam, dziękuje bardzo za zainteresowanie ofertą Glass Art"
NOWA kamerka samochodowa wideorejestrator dvr,Lubelskie,Tomaszów Lubelski,Motoryzacja,Pozostałe,"Witam,"
Kombinezon 6-9 miesięcy,Kujawsko-pomorskie,Inowrocław,Dla Dzieci,Ubranka dla dzieci,Sprzedam kombinezon dziecięcy LadyBird 6-9 miesięcy.
Homefront,Łódzkie,Łódź,Elektronika,Gry i Konsole,Doskonała strzelanka Homefront. Stan bardzo dobry. Wersja angielska ale po ściągnięciu upgrada jest możliwość gry po Polsku. Gra oryginalna w opakowaniu firmowym z książeczką gracza.
Gry XBOX 360 spis w opisie! 18 gier! FIFA BIOSHOCK2 ASSASSINS SEGA 007,Małopolskie,Bochnia,Elektronika,Gry i Konsole,Spis gier:
hot weheels rolki roz 33-35 rolki,Zachodniopomorskie,Koszalin,Sport i Hobby,Pozostały sport i hobby,hot weheels rolki roz 33-35 rolki dlugosc wkladki 21 cm uzywane wysylka zamienie tylko osobiscie na nowy zel damski nivea lub sprzedam z wysylka za 28 zl
Karty MatchAttax 2015/2016_01.11.2016,Wielkopolskie,Konin,Sport i Hobby,Kolekcje,"Sprzedam Moje powtórki:2,9,11,14,17,19,21,28,29,31,35,36,38,40,45,47,48,53,55,56,57,58,60,61,66,69,70,73,77,85,88,89,90,91,94,101,102,113,118,119,120,126,128,130,135,137,141,144,146,149,151,153,159,162,169,171,173,176,179,180,181,188,191197,198,200,203,204,206,209,211,213,215,220,221,224,225,232,234,242,243,246,250,253,254,265,268,272,275,276,281,284,285,292,299,301,302,306,310,321,324,326,328,330,331,334,335,342,345,351,356,358,364,366,367,369,372,375,377,383,388,391,393,396,397,401,403,404,408,410,415,424,427,428,430,432,437,455,459,462,468,475,477,478,483,491,494,500"
Zabytkowe stolki ręczna robota,Wielkopolskie,Międzychód,Sport i Hobby,Kolekcje,Sprzedam bądź zamienie dwa stołki ręczna robota stan jak na foto Propozycje zamiany bądź zakupu proszę przesyłać przez olx
Okulary przeciwsłoneczne diverse,Wielkopolskie,Konin,Moda,Dodatki,"Sprzedam okulary przeciwsłoneczne diverse,zauszniki w słońcu wzór panterka"
Biała śmierć Biznes i polityka,Mazowieckie,Warszawa,Muzyka i Edukacja,Literatura,Zamienię lub sprzedam książkę &quot;Biała Śmierć Biznes i Polityka&quot; Tom Jemieljanow.
Sukienka Minnie,Kujawsko-pomorskie,Świecie,Dla Dzieci,Ubranka dla dzieci,Mam na sprzedaż sukienkę minnie założona raz może dwa. Sukienka zakupiona w hm.
Coolclub smyk komplet czapka szalik rekawiczki dziewczynka,Śląskie,Wodzisław Śląski,Dla Dzieci,Ubranka dla dzieci,Piekny komplet. Pasuje ladnie do kombinezonu z moich ogloszen.
1977 David Peace,Zachodniopomorskie,Barlinek,Muzyka i Edukacja,Literatura,Zamienię na inną książkę
Spodnie,Kujawsko-pomorskie,Nakło nad Notecią,Moda,Ubrania,"Spodnie w kolorze jasnym złotym Długosc nogawki od pasa 106cm,długosc od pasa do krocza 29cm Możliwosc wysyłki,cała Polska"
Torebka,Łódzkie,Łódź,Moda,Dodatki,Torebka w stanie idealnym.  Wymienię na jakąś fajną torebkę ewentualnie body w rozm S-XS. Zapraszam na moje pozostałe ogłoszenia :)
Kaloszki 23/24,Śląskie,Czeladź,Dla Dzieci,Buciki,Zamienię kaloszki chłopięce
"Buty NIKE roz. 27,5cm",Dolnośląskie,Legnica,Dla Dzieci,Buciki,"Buty NIKE roz. 27,5cm"
Piórnik,Kujawsko-pomorskie,Toruń,Dla Dzieci,Pozostałe dla dzieci,Zamienie na czekolade milke
Szary sweterek rozmiar M/L,Śląskie,Bielsko-Biała,Moda,Ubrania,Szary sweterek rozmiar M /L. Nie wysyłam.
Spodnie,Pomorskie,Gdańsk,Moda,Ubrania,"Spodnie jeansowe, jasne/szare, cieniowane, dla osob wysokich"
Nowa Makroekonomia Begg David lub sprzedam,Lubuskie,Zielona Góra,Muzyka i Edukacja,Książki naukowe,Makroekonomia
Strój kąpielowy Disney 98 /104,Lubelskie,Biała Podlaska,Dla Dzieci,Ubranka dla dzieci,Sprzedam strój kąpielowy Disney nowy jednoczęściowy
jeansowe mini,Łódzkie,Łódź,Moda,Ubrania,sprzedam za 10 zł lub  zamienię na coś co wpadnie mi w oko jasnoniebieską teksasową spódniczkę wykończona frędzelkami z Vero Moda
szlifierka tasmowa,Mazowieckie,Łosice,Usługi i Firmy,Wyposażenie firm,"Sprzedam szlifierka taśmowa z ruchomym stołem. Dł stołu roboczego 220cm. Maszyna duża i stabilna długość całej maszyny ponad 3,5m. Silnik 3kw 3fazowy.Dł 7,6 m. Doskonała do obróbki dużych elementów np drzwi, blatów itp polecam.mozliwa zamiana na auto typu Van lub dostawcze. Gdy nie odbieram proszę o sms"
Śliczne koturny,Mazowieckie,Wyszków,Moda,Buty,Sprzedam 10 zl.lub zamienie na 3 kinder jajka bardzo fajne buty na koturnie sa bardzo lekkie i wygodne zalozone max.3razy
Zamienię,Mazowieckie,Warszawa,Moda,Kosmetyki i perfumy,Oferuję:
